stop_name,hour,day_of_week,is_weekend,is_peak_hour,delay_minutes
Victoria Memorial,6,4,0,0,0.2
L. B. Nagar,6,5,1,0,0.0
Miyapur,6,2,0,0,1.48
JNTU College,6,5,1,0,0.0
KPHB Colony,6,1,0,0,2.25
Kukatpally,6,2,0,0,0.0
Balanagar,6,1,0,0,2.53
Moosapet,6,2,0,0,0.08
Bharat Nagar,6,6,1,0,0.22
Erragadda,6,4,0,0,0.03
ESI Hospital,6,4,0,0,0.38
S. R. Nagar,6,5,1,0,0.48
Ameerpet,6,0,0,0,2.97
Panjagutta,6,5,1,0,0.43
Erra Manzil,6,1,0,0,0.0
Khairatabad,6,4,0,0,0.77
Lakdi-ka-pul,6,4,0,0,0.0
Assembly,6,5,1,0,1.62
Nampally,6,1,0,0,0.07
Gandhi Bhavan,6,5,1,0,4.33
Osmania Medical College,6,6,1,0,0.0
Mahatma Gandhi Bus Station,6,5,1,0,0.22
Malakpet,6,5,1,0,0.0
New Market,6,1,0,0,1.68
Musarambagh,6,0,0,0,1.22
Dilsukh Nagar,6,4,0,0,1.3
Chaitanyapuri,6,2,0,0,1.47
Victoria Memorial,6,1,0,0,0.07
L. B. Nagar,6,1,0,0,0.43
L. B. Nagar,6,1,0,0,0.12
Victoria Memorial,6,5,1,0,1.98
Chaitanyapuri,6,5,1,0,0.97
Dilsukh Nagar,6,1,0,0,0.4
Musarambagh,6,4,0,0,0.05
New Market,7,2,0,0,0.37
Malakpet,7,0,0,0,0.38
Mahatma Gandhi Bus Station,7,3,0,0,1.3
Osmania Medical College,7,4,0,0,1.0
Gandhi Bhavan,7,4,0,0,2.17
Nampally,7,6,1,0,0.63
Assembly,7,3,0,0,0.12
Lakdi-ka-pul,7,3,0,0,1.23
Khairatabad,7,1,0,0,1.42
Erra Manzil,7,2,0,0,0.82
Panjagutta,7,4,0,0,1.47
Ameerpet,7,4,0,0,2.72
S. R. Nagar,7,0,0,0,0.55
ESI Hospital,7,3,0,0,0.02
Erragadda,7,3,0,0,0.1
Bharat Nagar,7,4,0,0,0.02
Moosapet,7,3,0,0,1.0
Balanagar,7,1,0,0,0.37
Kukatpally,7,0,0,0,0.7
KPHB Colony,7,4,0,0,0.0
JNTU College,7,5,1,0,0.28
Miyapur,7,0,0,0,0.0
Miyapur,6,5,1,0,0.0
JNTU College,6,6,1,0,0.25
KPHB Colony,6,1,0,0,0.0
Kukatpally,6,0,0,0,0.33
Balanagar,6,5,1,0,0.17
Moosapet,6,3,0,0,2.65
Bharat Nagar,6,4,0,0,0.0
Erragadda,6,0,0,0,1.0
ESI Hospital,6,2,0,0,2.05
S. R. Nagar,6,4,0,0,1.62
Ameerpet,6,0,0,0,2.98
Panjagutta,6,4,0,0,0.77
Erra Manzil,6,5,1,0,1.63
Khairatabad,6,0,0,0,2.25
Lakdi-ka-pul,6,0,0,0,0.37
Assembly,6,3,0,0,0.1
Nampally,6,0,0,0,0.25
Gandhi Bhavan,6,2,0,0,0.55
Osmania Medical College,6,3,0,0,1.7
Mahatma Gandhi Bus Station,6,2,0,0,1.97
Malakpet,6,5,1,0,0.0
New Market,6,2,0,0,0.7
Musarambagh,6,6,1,0,0.53
Dilsukh Nagar,6,1,0,0,0.25
Chaitanyapuri,6,2,0,0,0.12
Victoria Memorial,6,0,0,0,0.4
L. B. Nagar,6,4,0,0,2.85
L. B. Nagar,7,3,0,0,0.38
Victoria Memorial,7,3,0,0,0.72
Chaitanyapuri,7,3,0,0,1.2
Dilsukh Nagar,7,4,0,0,0.45
Musarambagh,7,2,0,0,0.0
New Market,7,5,1,0,0.0
Malakpet,7,6,1,0,0.28
Mahatma Gandhi Bus Station,7,1,0,0,0.68
Osmania Medical College,7,0,0,0,0.35
Gandhi Bhavan,7,5,1,0,0.33
Nampally,7,3,0,0,0.03
Assembly,7,0,0,0,0.0
Lakdi-ka-pul,7,2,0,0,0.68
Khairatabad,7,6,1,0,0.05
Erra Manzil,7,5,1,0,0.0
Panjagutta,7,6,1,0,2.38
Ameerpet,7,1,0,0,0.0
S. R. Nagar,7,6,1,0,0.67
ESI Hospital,7,3,0,0,4.23
Erragadda,7,6,1,0,0.27
Bharat Nagar,7,2,0,0,1.1
Moosapet,7,5,1,0,1.43
Balanagar,7,1,0,0,0.27
Kukatpally,7,5,1,0,1.3
KPHB Colony,7,3,0,0,0.45
JNTU College,7,2,0,0,1.0
Miyapur,7,0,0,0,1.0
Ameerpet,6,5,1,0,0.0
S. R. Nagar,6,4,0,0,1.8
ESI Hospital,6,3,0,0,0.38
Erragadda,6,1,0,0,0.0
Bharat Nagar,6,1,0,0,0.0
Moosapet,6,4,0,0,0.88
Balanagar,6,4,0,0,1.12
Kukatpally,6,2,0,0,0.02
KPHB Colony,6,4,0,0,0.72
JNTU College,6,3,0,0,0.0
Miyapur,6,5,1,0,1.03
Miyapur,6,4,0,0,0.18
JNTU College,6,3,0,0,1.17
KPHB Colony,6,0,0,0,0.48
Kukatpally,6,4,0,0,2.75
Balanagar,6,0,0,0,0.13
Moosapet,6,6,1,0,0.0
Bharat Nagar,6,5,1,0,0.12
Erragadda,6,1,0,0,2.58
ESI Hospital,6,5,1,0,2.08
S. R. Nagar,6,6,1,0,0.28
Ameerpet,6,4,0,0,3.7
Panjagutta,6,1,0,0,0.8
Erra Manzil,6,5,1,0,0.75
Khairatabad,6,0,0,0,0.27
Lakdi-ka-pul,6,1,0,0,0.08
Assembly,6,0,0,0,2.27
Nampally,6,2,0,0,2.3
Gandhi Bhavan,6,5,1,0,1.0
Osmania Medical College,6,5,1,0,0.4
Mahatma Gandhi Bus Station,6,0,0,0,0.42
Malakpet,6,2,0,0,1.28
New Market,6,1,0,0,2.27
Musarambagh,6,0,0,0,2.17
Dilsukh Nagar,6,2,0,0,1.5
Chaitanyapuri,7,0,0,0,1.02
Victoria Memorial,7,3,0,0,0.08
L. B. Nagar,7,5,1,0,0.0
L. B. Nagar,7,3,0,0,2.28
Victoria Memorial,7,1,0,0,0.92
Chaitanyapuri,7,3,0,0,0.0
Dilsukh Nagar,7,5,1,0,0.1
Musarambagh,7,4,0,0,0.0
New Market,7,2,0,0,0.0
Malakpet,7,5,1,0,0.17
Mahatma Gandhi Bus Station,7,5,1,0,0.78
Osmania Medical College,7,4,0,0,1.17
Gandhi Bhavan,7,3,0,0,1.05
Nampally,7,1,0,0,0.25
Assembly,7,4,0,0,1.23
Lakdi-ka-pul,7,5,1,0,0.27
Khairatabad,7,6,1,0,0.38
Erra Manzil,7,1,0,0,1.37
Panjagutta,7,0,0,0,1.03
Ameerpet,7,5,1,0,4.2
S. R. Nagar,7,4,0,0,0.83
ESI Hospital,7,0,0,0,0.0
Erragadda,7,4,0,0,0.45
Bharat Nagar,7,6,1,0,0.3
Moosapet,7,2,0,0,0.0
Balanagar,7,1,0,0,3.6
Kukatpally,7,0,0,0,0.48
KPHB Colony,7,6,1,0,2.22
JNTU College,7,3,0,0,0.0
Miyapur,7,4,0,0,1.58
Miyapur,6,5,1,0,0.68
JNTU College,6,0,0,0,0.85
KPHB Colony,6,6,1,0,0.67
Kukatpally,6,6,1,0,0.22
Balanagar,6,4,0,0,1.27
Moosapet,6,4,0,0,0.32
Bharat Nagar,6,4,0,0,0.02
Erragadda,6,0,0,0,1.03
ESI Hospital,6,0,0,0,0.0
S. R. Nagar,6,4,0,0,2.82
Ameerpet,6,3,0,0,5.9
Panjagutta,6,5,1,0,0.45
Erra Manzil,6,1,0,0,0.0
Khairatabad,6,6,1,0,2.63
Lakdi-ka-pul,6,4,0,0,0.55
Assembly,6,3,0,0,3.4
Nampally,6,1,0,0,3.3
Gandhi Bhavan,6,4,0,0,1.92
Osmania Medical College,6,6,1,0,0.0
Mahatma Gandhi Bus Station,6,1,0,0,0.48
Malakpet,6,4,0,0,1.9
New Market,7,0,0,0,0.37
Musarambagh,7,4,0,0,0.18
Dilsukh Nagar,7,4,0,0,0.8
Chaitanyapuri,7,4,0,0,0.0
Victoria Memorial,7,4,0,0,1.18
L. B. Nagar,7,3,0,0,0.83
L. B. Nagar,7,2,0,0,0.1
Victoria Memorial,7,3,0,0,0.95
Chaitanyapuri,7,3,0,0,4.6
Dilsukh Nagar,7,0,0,0,0.0
Musarambagh,7,4,0,0,0.72
New Market,7,3,0,0,2.08
Malakpet,7,1,0,0,1.35
Mahatma Gandhi Bus Station,7,4,0,0,1.18
Osmania Medical College,7,0,0,0,1.2
Gandhi Bhavan,7,5,1,0,0.0
Nampally,7,5,1,0,0.33
Assembly,7,0,0,0,1.65
Lakdi-ka-pul,7,6,1,0,1.65
Khairatabad,7,1,0,0,2.02
Erra Manzil,7,5,1,0,2.43
Panjagutta,7,0,0,0,0.0
Ameerpet,7,5,1,0,0.0
S. R. Nagar,7,4,0,0,1.03
ESI Hospital,7,2,0,0,1.2
Erragadda,7,2,0,0,1.58
Bharat Nagar,7,3,0,0,0.0
Moosapet,7,0,0,0,0.4
Balanagar,7,6,1,0,0.0
Kukatpally,7,4,0,0,0.08
KPHB Colony,7,1,0,0,0.0
JNTU College,8,1,0,1,2.88
Miyapur,8,4,0,1,0.0
Miyapur,6,4,0,0,0.88
JNTU College,6,1,0,0,0.02
KPHB Colony,6,0,0,0,0.03
Kukatpally,6,5,1,0,1.72
Balanagar,6,3,0,0,0.0
Moosapet,6,3,0,0,0.13
Bharat Nagar,6,3,0,0,0.0
Erragadda,6,4,0,0,1.47
ESI Hospital,6,1,0,0,0.23
S. R. Nagar,6,6,1,0,0.97
Ameerpet,6,6,1,0,1.18
Panjagutta,6,1,0,0,0.75
Erra Manzil,6,1,0,0,0.77
Khairatabad,6,5,1,0,1.0
Lakdi-ka-pul,6,1,0,0,1.28
Assembly,6,1,0,0,3.72
Nampally,7,2,0,0,0.72
Gandhi Bhavan,7,5,1,0,0.38
Osmania Medical College,7,4,0,0,0.0
Mahatma Gandhi Bus Station,7,6,1,0,0.3
Malakpet,7,5,1,0,0.57
New Market,7,4,0,0,0.07
Musarambagh,7,2,0,0,0.02
Dilsukh Nagar,7,3,0,0,3.28
Chaitanyapuri,7,0,0,0,1.8
Victoria Memorial,7,5,1,0,1.18
L. B. Nagar,7,4,0,0,0.52
L. B. Nagar,7,4,0,0,0.0
Victoria Memorial,7,2,0,0,0.17
Chaitanyapuri,7,4,0,0,0.28
Dilsukh Nagar,7,4,0,0,0.78
Musarambagh,7,3,0,0,1.25
New Market,7,2,0,0,1.07
Malakpet,7,5,1,0,0.32
Mahatma Gandhi Bus Station,7,4,0,0,0.0
Osmania Medical College,7,1,0,0,1.33
Gandhi Bhavan,7,2,0,0,0.0
Nampally,7,3,0,0,0.93
Assembly,7,5,1,0,0.53
Lakdi-ka-pul,7,0,0,0,0.28
Khairatabad,7,4,0,0,0.0
Erra Manzil,7,1,0,0,1.42
Panjagutta,7,1,0,0,0.0
Ameerpet,7,0,0,0,0.0
S. R. Nagar,7,2,0,0,0.03
ESI Hospital,7,3,0,0,1.93
Erragadda,7,4,0,0,0.0
Bharat Nagar,7,4,0,0,0.63
Moosapet,7,5,1,0,0.0
Balanagar,8,4,0,1,0.0
Kukatpally,8,1,0,1,2.92
KPHB Colony,8,2,0,1,0.0
JNTU College,8,0,0,1,2.18
Miyapur,8,2,0,1,3.97
Miyapur,6,3,0,0,0.0
JNTU College,6,3,0,0,1.93
KPHB Colony,6,6,1,0,1.07
Kukatpally,6,0,0,0,0.17
Balanagar,6,1,0,0,0.07
Moosapet,6,5,1,0,1.02
Bharat Nagar,6,0,0,0,0.02
Erragadda,6,5,1,0,0.87
ESI Hospital,6,3,0,0,0.0
S. R. Nagar,6,1,0,0,0.85
Ameerpet,6,2,0,0,2.77
Panjagutta,6,3,0,0,0.6
Erra Manzil,6,1,0,0,0.0
Khairatabad,7,1,0,0,2.83
Lakdi-ka-pul,7,4,0,0,0.48
Assembly,7,2,0,0,0.0
Nampally,7,1,0,0,2.35
Gandhi Bhavan,7,0,0,0,0.22
Osmania Medical College,7,5,1,0,0.07
Mahatma Gandhi Bus Station,7,6,1,0,0.1
Malakpet,7,2,0,0,0.02
New Market,7,2,0,0,0.08
Musarambagh,7,6,1,0,1.13
Dilsukh Nagar,7,3,0,0,0.07
Chaitanyapuri,7,2,0,0,0.38
Victoria Memorial,7,2,0,0,1.85
L. B. Nagar,7,4,0,0,0.02
L. B. Nagar,7,2,0,0,1.68
Victoria Memorial,7,5,1,0,0.32
Chaitanyapuri,7,5,1,0,0.0
Dilsukh Nagar,7,5,1,0,1.18
Musarambagh,7,1,0,0,0.98
New Market,7,6,1,0,2.08
Malakpet,7,6,1,0,0.0
Mahatma Gandhi Bus Station,7,0,0,0,1.62
Osmania Medical College,7,6,1,0,0.0
Gandhi Bhavan,7,5,1,0,0.18
Nampally,7,4,0,0,1.38
Assembly,7,4,0,0,1.63
Lakdi-ka-pul,7,4,0,0,4.65
Khairatabad,7,4,0,0,0.0
Erra Manzil,7,3,0,0,0.45
Panjagutta,7,6,1,0,1.48
Ameerpet,7,4,0,0,0.0
S. R. Nagar,7,3,0,0,1.95
ESI Hospital,8,3,0,1,0.0
Erragadda,8,2,0,1,2.82
Bharat Nagar,8,0,0,1,5.33
Moosapet,8,2,0,1,4.02
Balanagar,8,3,0,1,4.8
Kukatpally,8,2,0,1,0.0
KPHB Colony,8,1,0,1,2.37
JNTU College,8,6,1,1,7.78
Miyapur,8,4,0,1,4.37
Miyapur,6,4,0,0,0.58
JNTU College,6,6,1,0,0.33
KPHB Colony,6,6,1,0,0.0
Kukatpally,6,3,0,0,1.1
Balanagar,6,2,0,0,1.38
Moosapet,6,6,1,0,1.57
Bharat Nagar,6,1,0,0,1.55
Erragadda,6,1,0,0,0.08
ESI Hospital,6,5,1,0,0.67
S. R. Nagar,7,1,0,0,0.05
Ameerpet,7,3,0,0,2.67
Panjagutta,7,5,1,0,2.18
Erra Manzil,7,2,0,0,0.42
Khairatabad,7,1,0,0,0.12
Lakdi-ka-pul,7,1,0,0,0.0
Assembly,7,2,0,0,1.43
Nampally,7,2,0,0,0.0
Gandhi Bhavan,7,4,0,0,0.1
Osmania Medical College,7,0,0,0,0.08
Mahatma Gandhi Bus Station,7,0,0,0,0.0
Malakpet,7,1,0,0,0.07
New Market,7,2,0,0,1.72
Musarambagh,7,4,0,0,0.0
Dilsukh Nagar,7,3,0,0,0.08
Chaitanyapuri,7,0,0,0,0.08
Victoria Memorial,7,5,1,0,4.3
L. B. Nagar,7,0,0,0,0.47
L. B. Nagar,7,2,0,0,0.45
Victoria Memorial,7,6,1,0,1.67
Chaitanyapuri,7,3,0,0,2.93
Dilsukh Nagar,7,0,0,0,4.27
Musarambagh,7,6,1,0,1.38
New Market,7,4,0,0,0.47
Malakpet,7,0,0,0,0.08
Mahatma Gandhi Bus Station,7,2,0,0,1.5
Osmania Medical College,7,2,0,0,0.82
Gandhi Bhavan,7,5,1,0,0.0
Nampally,7,5,1,0,2.37
Assembly,7,3,0,0,0.12
Lakdi-ka-pul,7,0,0,0,0.67
Khairatabad,7,3,0,0,0.0
Erra Manzil,8,6,1,1,1.85
Panjagutta,8,0,0,1,1.58
Ameerpet,8,1,0,1,7.18
S. R. Nagar,8,0,0,1,5.77
ESI Hospital,8,2,0,1,4.8
Erragadda,8,2,0,1,5.1
Bharat Nagar,8,1,0,1,4.88
Moosapet,8,0,0,1,4.6
Balanagar,8,0,0,1,5.72
Kukatpally,8,2,0,1,0.0
KPHB Colony,8,1,0,1,6.57
JNTU College,8,2,0,1,4.77
Miyapur,8,6,1,1,4.1
Miyapur,6,1,0,0,0.87
JNTU College,6,2,0,0,2.3
KPHB Colony,6,4,0,0,0.03
Kukatpally,6,0,0,0,0.32
Balanagar,6,3,0,0,3.0
Moosapet,7,4,0,0,2.2
Bharat Nagar,7,2,0,0,0.6
Erragadda,7,1,0,0,0.97
ESI Hospital,7,3,0,0,0.32
S. R. Nagar,7,1,0,0,0.2
Ameerpet,7,5,1,0,2.32
Panjagutta,7,1,0,0,0.87
Erra Manzil,7,5,1,0,0.07
Khairatabad,7,6,1,0,3.65
Lakdi-ka-pul,7,5,1,0,4.28
Assembly,7,0,0,0,1.18
Nampally,7,2,0,0,0.77
Gandhi Bhavan,7,0,0,0,0.37
Osmania Medical College,7,5,1,0,1.67
Mahatma Gandhi Bus Station,7,1,0,0,1.15
Malakpet,7,0,0,0,0.17
New Market,7,4,0,0,2.42
Musarambagh,7,6,1,0,1.72
Dilsukh Nagar,7,5,1,0,2.98
Chaitanyapuri,7,1,0,0,1.28
Victoria Memorial,7,1,0,0,0.0
L. B. Nagar,7,4,0,0,0.53
L. B. Nagar,7,1,0,0,2.68
Victoria Memorial,7,3,0,0,2.0
Chaitanyapuri,7,3,0,0,0.03
Dilsukh Nagar,7,2,0,0,0.02
Musarambagh,7,2,0,0,0.47
New Market,7,0,0,0,1.65
Malakpet,7,0,0,0,4.35
Mahatma Gandhi Bus Station,7,6,1,0,0.15
Osmania Medical College,7,4,0,0,0.9
Gandhi Bhavan,7,4,0,0,0.0
Nampally,8,5,1,1,7.87
Assembly,8,6,1,1,0.0
Lakdi-ka-pul,8,1,0,1,2.62
Khairatabad,8,2,0,1,4.52
Erra Manzil,8,5,1,1,6.67
Panjagutta,8,2,0,1,8.9
Ameerpet,8,2,0,1,8.93
S. R. Nagar,8,2,0,1,3.08
ESI Hospital,8,0,0,1,4.95
Erragadda,8,3,0,1,2.83
Bharat Nagar,8,5,1,1,4.58
Moosapet,8,4,0,1,1.88
Balanagar,8,4,0,1,4.18
Kukatpally,8,2,0,1,4.55
KPHB Colony,8,2,0,1,5.12
JNTU College,8,0,0,1,5.32
Miyapur,8,0,0,1,0.0
Miyapur,6,4,0,0,0.02
JNTU College,7,2,0,0,1.4
KPHB Colony,7,2,0,0,0.97
Kukatpally,7,6,1,0,1.22
Balanagar,7,5,1,0,0.23
Moosapet,7,4,0,0,0.13
Bharat Nagar,7,0,0,0,0.0
Erragadda,7,5,1,0,0.42
ESI Hospital,7,4,0,0,0.88
S. R. Nagar,7,0,0,0,0.48
Ameerpet,7,0,0,0,3.38
Panjagutta,7,5,1,0,0.42
Erra Manzil,7,5,1,0,0.72
Khairatabad,7,0,0,0,0.0
Lakdi-ka-pul,7,2,0,0,0.5
Assembly,7,4,0,0,0.0
Nampally,7,0,0,0,1.97
Gandhi Bhavan,7,3,0,0,2.98
Osmania Medical College,7,6,1,0,0.15
Mahatma Gandhi Bus Station,7,0,0,0,2.6
Malakpet,7,0,0,0,0.67
New Market,7,5,1,0,0.28
Musarambagh,7,0,0,0,0.6
Dilsukh Nagar,7,6,1,0,3.9
Chaitanyapuri,7,1,0,0,0.67
Victoria Memorial,7,5,1,0,0.38
L. B. Nagar,7,3,0,0,1.0
L. B. Nagar,7,2,0,0,0.27
Victoria Memorial,7,6,1,0,0.07
Chaitanyapuri,7,5,1,0,0.13
Dilsukh Nagar,7,4,0,0,0.13
Musarambagh,7,4,0,0,0.15
New Market,7,5,1,0,0.13
Malakpet,8,4,0,1,2.75
Mahatma Gandhi Bus Station,8,5,1,1,5.0
Osmania Medical College,8,2,0,1,4.3
Gandhi Bhavan,8,0,0,1,0.0
Nampally,8,3,0,1,1.72
Assembly,8,4,0,1,2.03
Lakdi-ka-pul,8,1,0,1,1.57
Khairatabad,8,1,0,1,2.43
Erra Manzil,8,3,0,1,3.45
Panjagutta,8,4,0,1,2.32
Ameerpet,8,0,0,1,6.27
S. R. Nagar,8,4,0,1,6.75
ESI Hospital,8,6,1,1,2.17
Erragadda,8,0,0,1,5.63
Bharat Nagar,8,4,0,1,0.0
Moosapet,8,1,0,1,3.4
Balanagar,8,2,0,1,0.0
Kukatpally,8,5,1,1,4.6
KPHB Colony,8,3,0,1,2.03
JNTU College,8,0,0,1,5.82
Miyapur,8,2,0,1,3.83
Miyapur,7,0,0,0,0.1
JNTU College,7,6,1,0,0.58
KPHB Colony,7,3,0,0,0.75
Kukatpally,7,6,1,0,0.27
Balanagar,7,6,1,0,0.3
Moosapet,7,2,0,0,0.47
Bharat Nagar,7,6,1,0,0.02
Erragadda,7,2,0,0,0.38
ESI Hospital,7,5,1,0,0.23
S. R. Nagar,7,5,1,0,0.38
Ameerpet,7,3,0,0,0.0
Panjagutta,7,3,0,0,0.9
Erra Manzil,7,0,0,0,1.13
Khairatabad,7,6,1,0,1.55
Lakdi-ka-pul,7,2,0,0,0.68
Assembly,7,3,0,0,0.08
Nampally,7,5,1,0,0.77
Gandhi Bhavan,7,0,0,0,0.88
Osmania Medical College,7,4,0,0,1.37
Mahatma Gandhi Bus Station,7,5,1,0,0.0
Malakpet,7,3,0,0,0.0
New Market,7,5,1,0,0.33
Musarambagh,7,6,1,0,0.45
Dilsukh Nagar,7,5,1,0,1.03
Chaitanyapuri,7,2,0,0,0.83
Victoria Memorial,7,4,0,0,0.0
L. B. Nagar,7,3,0,0,4.3
L. B. Nagar,7,6,1,0,0.92
Victoria Memorial,7,1,0,0,0.27
Chaitanyapuri,8,2,0,1,1.72
Dilsukh Nagar,8,6,1,1,1.92
Musarambagh,8,5,1,1,2.33
New Market,8,2,0,1,4.77
Malakpet,8,0,0,1,0.0
Mahatma Gandhi Bus Station,8,6,1,1,5.45
Osmania Medical College,8,1,0,1,0.0
Gandhi Bhavan,8,3,0,1,7.95
Nampally,8,1,0,1,3.72
Assembly,8,5,1,1,3.85
Lakdi-ka-pul,8,3,0,1,5.87
Khairatabad,8,6,1,1,0.0
Erra Manzil,8,0,0,1,3.2
Panjagutta,8,5,1,1,3.08
Ameerpet,8,5,1,1,3.9
S. R. Nagar,8,4,0,1,0.0
ESI Hospital,8,1,0,1,0.0
Erragadda,8,2,0,1,0.0
Bharat Nagar,8,3,0,1,2.38
Moosapet,8,1,0,1,1.38
Balanagar,8,3,0,1,6.88
Kukatpally,8,1,0,1,3.67
KPHB Colony,8,2,0,1,0.0
JNTU College,8,3,0,1,3.78
Miyapur,8,3,0,1,2.92
Lakdi-ka-pul,6,4,0,0,2.65
Khairatabad,6,0,0,0,0.0
Erra Manzil,6,1,0,0,3.35
Panjagutta,6,2,0,0,0.0
Ameerpet,6,6,1,0,4.18
S. R. Nagar,6,4,0,0,0.0
ESI Hospital,6,4,0,0,0.07
Erragadda,6,0,0,0,1.35
Bharat Nagar,6,6,1,0,0.85
Moosapet,6,2,0,0,1.83
Balanagar,6,6,1,0,0.15
Kukatpally,6,5,1,0,0.0
KPHB Colony,6,1,0,0,0.22
JNTU College,6,3,0,0,0.17
Miyapur,6,0,0,0,0.17
New Market,6,3,0,0,1.68
Malakpet,6,4,0,0,1.08
Mahatma Gandhi Bus Station,6,3,0,0,0.0
Osmania Medical College,6,1,0,0,0.43
Gandhi Bhavan,6,5,1,0,2.08
Nampally,6,1,0,0,0.48
Assembly,6,5,1,0,1.68
Lakdi-ka-pul,6,3,0,0,0.57
Khairatabad,6,3,0,0,0.47
Erra Manzil,6,0,0,0,0.62
Panjagutta,6,5,1,0,0.35
Ameerpet,6,1,0,0,3.37
S. R. Nagar,6,3,0,0,0.25
ESI Hospital,6,2,0,0,2.28
Erragadda,6,0,0,0,0.48
Bharat Nagar,6,0,0,0,0.78
Moosapet,6,6,1,0,2.37
Balanagar,6,0,0,0,0.97
Kukatpally,6,0,0,0,0.12
KPHB Colony,6,5,1,0,2.8
JNTU College,6,5,1,0,0.98
Miyapur,6,3,0,0,0.4
L. B. Nagar,6,4,0,0,0.13
Victoria Memorial,6,6,1,0,1.57
Chaitanyapuri,6,2,0,0,0.97
Dilsukh Nagar,6,4,0,0,0.75
Musarambagh,6,4,0,0,2.23
New Market,6,3,0,0,0.0
Malakpet,6,0,0,0,0.15
Mahatma Gandhi Bus Station,6,0,0,0,0.37
Osmania Medical College,6,3,0,0,0.28
Gandhi Bhavan,6,3,0,0,0.0
Nampally,6,5,1,0,0.03
Assembly,6,1,0,0,0.83
Lakdi-ka-pul,6,0,0,0,1.43
Khairatabad,6,2,0,0,2.08
Erra Manzil,6,1,0,0,0.42
Panjagutta,6,4,0,0,1.72
Ameerpet,6,6,1,0,2.8
S. R. Nagar,6,5,1,0,0.13
ESI Hospital,6,5,1,0,0.5
Erragadda,6,0,0,0,1.58
Bharat Nagar,6,3,0,0,0.15
Moosapet,6,3,0,0,0.25
Balanagar,6,6,1,0,0.0
Kukatpally,6,3,0,0,1.27
KPHB Colony,6,0,0,0,1.02
JNTU College,6,5,1,0,1.18
Miyapur,6,2,0,0,0.0
L. B. Nagar,6,3,0,0,0.0
Victoria Memorial,6,5,1,0,0.42
Chaitanyapuri,6,0,0,0,0.2
Dilsukh Nagar,6,4,0,0,2.38
Musarambagh,6,1,0,0,0.87
New Market,6,0,0,0,0.0
Malakpet,6,0,0,0,0.0
Mahatma Gandhi Bus Station,6,5,1,0,2.93
Osmania Medical College,6,3,0,0,0.0
Gandhi Bhavan,6,6,1,0,0.87
Nampally,6,1,0,0,0.7
Assembly,6,1,0,0,0.0
Lakdi-ka-pul,6,3,0,0,0.02
Khairatabad,6,2,0,0,2.05
Erra Manzil,6,0,0,0,2.68
Panjagutta,6,3,0,0,0.82
Ameerpet,6,6,1,0,4.03
S. R. Nagar,6,5,1,0,1.22
ESI Hospital,6,2,0,0,0.15
Erragadda,6,3,0,0,0.0
Bharat Nagar,6,4,0,0,0.92
Moosapet,6,2,0,0,0.0
Balanagar,7,6,1,0,1.33
Kukatpally,7,5,1,0,2.72
KPHB Colony,7,2,0,0,2.58
JNTU College,7,1,0,0,0.58
Miyapur,7,0,0,0,0.12
L. B. Nagar,6,3,0,0,4.18
Victoria Memorial,6,6,1,0,1.82
Chaitanyapuri,6,6,1,0,0.12
Dilsukh Nagar,6,5,1,0,2.53
Musarambagh,6,5,1,0,2.03
New Market,6,3,0,0,0.72
