stop_name_encoded,hour,day_of_week,is_weekend,is_peak_hour,stop_sequence,direction_id,is_interchange,delay_minutes
4,7,6,1,0,3,1,0,0.0
5,7,3,0,0,4,1,0,0.3
20,7,3,0,0,5,1,0,0.56
22,7,1,0,0,6,1,0,0.58
17,7,0,0,0,7,1,0,0.72
16,7,6,1,0,8,1,0,1.18
23,7,6,1,0,9,1,0,1.3
9,7,2,0,0,10,1,0,1.37
21,7,5,1,0,11,1,0,1.61
1,7,3,0,0,12,1,0,2.11
15,7,0,0,0,13,1,0,2.23
12,7,0,0,0,14,1,0,2.56
7,7,0,0,0,15,1,0,0.0
24,7,0,0,0,16,1,0,0.12
0,7,5,1,0,17,1,1,1.85
25,7,3,0,0,18,1,0,0.8
6,7,6,1,0,19,1,0,1.12
8,7,3,0,0,20,1,0,1.38
3,7,1,0,0,21,1,0,1.43
19,7,4,0,0,22,1,0,1.85
2,7,3,0,0,23,1,0,2.01
13,7,5,1,0,24,1,0,2.1
11,7,5,1,0,25,1,0,2.12
10,7,4,0,0,26,1,0,2.42
18,7,2,0,0,27,1,0,2.75
0,6,4,0,0,1,1,1,1.5
25,6,3,0,0,2,1,0,0.6
6,6,2,0,0,3,1,0,0.68
8,6,2,0,0,4,1,0,1.03
3,6,1,0,0,5,1,0,1.22
19,6,2,0,0,6,1,0,1.69
2,6,0,0,0,7,1,0,1.76
13,6,3,0,0,8,1,0,0.0
11,6,2,0,0,9,1,0,0.06
10,6,3,0,0,10,1,0,0.0
18,6,3,0,0,11,1,0,0.44
18,6,3,0,0,1,0,0,0.63
10,6,0,0,0,2,0,0,1.04
11,6,6,1,0,3,0,0,1.31
13,6,3,0,0,4,0,0,1.58
2,6,5,1,0,5,0,0,1.7
19,6,1,0,0,6,0,0,1.75
3,6,0,0,0,7,0,0,2.2
8,6,0,0,0,8,0,0,0.0
6,6,1,0,0,9,0,0,0.0
25,6,5,1,0,10,0,0,0.17
0,6,5,1,0,11,0,1,2.07
24,6,2,0,0,12,0,0,0.79
7,6,4,0,0,13,0,0,1.24
12,6,5,1,0,14,0,0,1.63
15,6,6,1,0,15,0,0,1.95
1,6,6,1,0,16,0,0,1.99
21,6,3,0,0,17,0,0,2.07
9,6,6,1,0,18,0,0,2.52
23,6,4,0,0,19,0,0,2.82
16,6,3,0,0,20,0,0,2.83
17,6,2,0,0,21,0,0,2.88
22,6,5,1,0,22,0,0,3.21
20,6,2,0,0,23,0,0,3.21
5,6,5,1,0,24,0,0,0.0
4,7,6,1,0,25,0,0,0.27
26,7,5,1,0,26,0,0,0.62
14,7,0,0,0,27,0,0,0.95
14,7,1,0,0,1,1,0,0.0
26,7,2,0,0,2,1,0,0.12
4,7,4,0,0,3,1,0,0.28
5,7,6,1,0,4,1,0,0.65
20,7,4,0,0,5,1,0,0.98
22,7,0,0,0,6,1,0,1.4
17,7,5,1,0,7,1,0,1.73
16,7,5,1,0,8,1,0,2.02
23,7,3,0,0,9,1,0,2.06
9,7,2,0,0,10,1,0,2.25
21,7,0,0,0,11,1,0,2.38
1,7,6,1,0,12,1,0,2.5
15,7,6,1,0,13,1,0,2.99
12,7,1,0,0,14,1,0,3.19
7,7,1,0,0,15,1,0,3.63
24,7,0,0,0,16,1,0,0.0
0,7,5,1,0,17,1,1,0.0
25,7,2,0,0,18,1,0,0.29
6,7,1,0,0,19,1,0,0.53
8,7,3,0,0,20,1,0,0.63
3,7,2,0,0,21,1,0,0.0
19,7,4,0,0,22,1,0,0.14
2,7,0,0,0,23,1,0,0.15
13,7,3,0,0,24,1,0,0.48
11,7,2,0,0,25,1,0,0.56
10,7,4,0,0,26,1,0,1.03
18,7,1,0,0,27,1,0,1.51
18,6,2,0,0,1,0,0,2.65
10,6,3,0,0,2,0,0,2.66
11,6,4,0,0,3,0,0,0.0
13,6,2,0,0,4,0,0,0.21
2,6,1,0,0,5,0,0,0.7
19,6,2,0,0,6,0,0,1.18
3,6,5,1,0,7,0,0,1.61
8,6,0,0,0,8,0,0,1.75
6,6,1,0,0,9,0,0,1.95
25,6,3,0,0,10,0,0,2.37
0,6,2,0,0,11,0,1,3.7
24,6,3,0,0,12,0,0,2.81
7,6,6,1,0,13,0,0,0.0
12,6,6,1,0,14,0,0,0.35
15,6,4,0,0,15,0,0,0.63
1,6,5,1,0,16,0,0,0.68
21,6,6,1,0,17,0,0,0.99
9,6,2,0,0,18,0,0,0.0
23,6,2,0,0,19,0,0,0.07
16,6,2,0,0,20,0,0,0.0
17,6,4,0,0,21,0,0,0.44
22,7,5,1,0,22,0,0,0.81
20,7,0,0,0,23,0,0,1.16
5,7,0,0,0,24,0,0,1.51
4,7,2,0,0,25,0,0,1.69
26,7,4,0,0,26,0,0,1.84
14,7,4,0,0,27,0,0,2.24
14,7,6,1,0,1,1,0,2.09
26,7,6,1,0,2,1,0,2.55
4,7,4,0,0,3,1,0,2.81
5,7,6,1,0,4,1,0,3.06
20,7,5,1,0,5,1,0,3.46
22,7,1,0,0,6,1,0,3.78
17,7,0,0,0,7,1,0,0.0
16,7,3,0,0,8,1,0,0.4
23,7,6,1,0,9,1,0,0.0
9,7,2,0,0,10,1,0,0.17
21,7,2,0,0,11,1,0,0.36
1,7,3,0,0,12,1,0,0.4
15,7,6,1,0,13,1,0,0.69
12,7,0,0,0,14,1,0,0.0
7,7,1,0,0,15,1,0,0.23
24,7,3,0,0,16,1,0,0.5
0,7,4,0,0,17,1,1,2.24
25,7,1,0,0,18,1,0,0.66
6,7,2,0,0,19,1,0,0.68
8,7,1,0,0,20,1,0,0.0
3,7,5,1,0,21,1,0,0.18
19,7,6,1,0,22,1,0,0.0
2,7,5,1,0,23,1,0,0.26
13,7,0,0,0,24,1,0,0.65
11,7,6,1,0,25,1,0,0.75
10,8,6,1,1,26,1,0,2.24
18,8,4,0,1,27,1,0,3.15
18,6,1,0,0,1,0,0,0.0
10,6,5,1,0,2,0,0,0.36
11,6,5,1,0,3,0,0,0.0
13,6,0,0,0,4,0,0,0.26
2,6,0,0,0,5,0,0,0.0
19,6,0,0,0,6,0,0,0.4
3,6,5,1,0,7,0,0,0.53
8,6,1,0,0,8,0,0,0.75
6,6,4,0,0,9,0,0,0.79
25,6,6,1,0,10,0,0,0.8
0,6,6,1,0,11,0,1,3.12
24,6,4,0,0,12,0,0,0.0
7,6,4,0,0,13,0,0,0.2
12,6,2,0,0,14,0,0,0.29
15,6,0,0,0,15,0,0,0.37
1,6,4,0,0,16,0,0,0.0
21,7,6,1,0,17,0,0,0.27
9,7,5,1,0,18,0,0,0.63
23,7,0,0,0,19,0,0,0.96
16,7,4,0,0,20,0,0,1.1
17,7,0,0,0,21,0,0,1.58
22,7,5,1,0,22,0,0,1.95
20,7,6,1,0,23,0,0,2.23
5,7,5,1,0,24,0,0,2.53
4,7,4,0,0,25,0,0,2.74
26,7,2,0,0,26,0,0,2.87
14,7,3,0,0,27,0,0,3.04
14,7,1,0,0,1,1,0,1.43
26,7,5,1,0,2,1,0,1.48
4,7,1,0,0,3,1,0,1.51
5,7,6,1,0,4,1,0,1.53
20,7,3,0,0,5,1,0,1.95
22,7,0,0,0,6,1,0,2.31
17,7,3,0,0,7,1,0,2.54
16,7,0,0,0,8,1,0,2.59
23,7,3,0,0,9,1,0,0.0
9,7,6,1,0,10,1,0,0.24
21,7,2,0,0,11,1,0,0.32
1,7,3,0,0,12,1,0,0.54
15,7,3,0,0,13,1,0,0.74
12,7,2,0,0,14,1,0,1.05
7,7,6,1,0,15,1,0,1.36
24,7,6,1,0,16,1,0,1.39
0,7,1,0,0,17,1,1,3.2
25,7,1,0,0,18,1,0,1.83
6,7,6,1,0,19,1,0,2.25
8,7,5,1,0,20,1,0,0.0
3,7,1,0,0,21,1,0,0.08
19,7,1,0,0,22,1,0,0.12
2,8,4,0,1,23,1,0,1.49
13,8,2,0,1,24,1,0,3.61
11,8,3,0,1,25,1,0,2.79
10,8,6,1,1,26,1,0,0.0
18,8,6,1,1,27,1,0,3.16
18,6,6,1,0,1,0,0,0.97
10,6,2,0,0,2,0,0,1.42
11,6,0,0,0,3,0,0,1.52
13,6,0,0,0,4,0,0,0.0
2,6,4,0,0,5,0,0,0.05
19,6,4,0,0,6,0,0,0.06
3,6,4,0,0,7,0,0,0.11
8,6,3,0,0,8,0,0,0.45
6,6,4,0,0,9,0,0,0.48
25,6,2,0,0,10,0,0,0.64
0,6,5,1,0,11,0,1,2.09
24,6,5,1,0,12,0,0,1.47
7,6,1,0,0,13,0,0,1.61
12,7,6,1,0,14,0,0,1.67
15,7,0,0,0,15,0,0,2.02
1,7,5,1,0,16,0,0,2.34
21,7,1,0,0,17,0,0,0.0
9,7,5,1,0,18,0,0,0.37
23,7,1,0,0,19,0,0,0.77
16,7,3,0,0,20,0,0,0.91
17,7,6,1,0,21,0,0,1.0
22,7,3,0,0,22,0,0,1.37
20,7,5,1,0,23,0,0,1.78
5,7,0,0,0,24,0,0,2.27
4,7,1,0,0,25,0,0,2.48
26,7,4,0,0,26,0,0,0.0
14,7,5,1,0,27,0,0,0.39
14,7,5,1,0,1,1,0,0.88
26,7,4,0,0,2,1,0,1.31
4,7,5,1,0,3,1,0,1.53
5,7,0,0,0,4,1,0,1.9
20,7,5,1,0,5,1,0,0.0
22,7,2,0,0,6,1,0,0.0
17,7,1,0,0,7,1,0,0.45
16,7,6,1,0,8,1,0,0.7
23,7,4,0,0,9,1,0,0.0
9,7,1,0,0,10,1,0,0.16
21,7,3,0,0,11,1,0,0.61
1,7,2,0,0,12,1,0,0.8
15,7,5,1,0,13,1,0,0.0
12,7,1,0,0,14,1,0,0.45
7,7,2,0,0,15,1,0,0.5
24,7,5,1,0,16,1,0,0.66
0,7,2,0,0,17,1,1,3.08
25,7,4,0,0,18,1,0,1.42
6,8,1,0,1,19,1,0,3.63
8,8,4,0,1,20,1,0,0.0
3,8,6,1,1,21,1,0,2.84
19,8,3,0,1,22,1,0,3.31
2,8,1,0,1,23,1,0,2.77
13,8,2,0,1,24,1,0,2.91
11,8,2,0,1,25,1,0,0.0
10,8,6,1,1,26,1,0,1.41
18,8,5,1,1,27,1,0,2.77
18,6,2,0,0,1,0,0,1.01
10,6,2,0,0,2,0,0,1.06
11,6,5,1,0,3,0,0,1.41
13,6,0,0,0,4,0,0,1.44
2,6,1,0,0,5,0,0,0.0
19,6,2,0,0,6,0,0,0.35
3,6,4,0,0,7,0,0,0.39
8,6,1,0,0,8,0,0,0.44
6,6,3,0,0,9,0,0,0.0
25,7,1,0,0,10,0,0,0.19
0,7,1,0,0,11,0,1,2.19
24,7,2,0,0,12,0,0,0.0
7,7,1,0,0,13,0,0,0.0
12,7,4,0,0,14,0,0,0.0
15,7,4,0,0,15,0,0,0.19
1,7,0,0,0,16,0,0,0.23
21,7,0,0,0,17,0,0,0.62
9,7,4,0,0,18,0,0,0.9
23,7,3,0,0,19,0,0,1.11
16,7,0,0,0,20,0,0,1.56
17,7,6,1,0,21,0,0,0.0
22,7,1,0,0,22,0,0,0.0
20,7,6,1,0,23,0,0,0.01
5,7,3,0,0,24,0,0,0.24
4,7,4,0,0,25,0,0,0.27
26,7,2,0,0,26,0,0,0.33
14,7,4,0,0,27,0,0,0.39
14,7,1,0,0,1,1,0,1.42
26,7,2,0,0,2,1,0,1.71
4,7,6,1,0,3,1,0,2.19
5,7,4,0,0,4,1,0,2.38
20,7,5,1,0,5,1,0,2.52
22,7,1,0,0,6,1,0,2.96
17,7,1,0,0,7,1,0,3.07
16,7,1,0,0,8,1,0,3.55
23,7,1,0,0,9,1,0,3.56
9,7,4,0,0,10,1,0,4.04
21,7,6,1,0,11,1,0,4.06
1,7,1,0,0,12,1,0,4.51
15,7,2,0,0,13,1,0,0.0
12,7,6,1,0,14,1,0,0.5
7,8,4,0,1,15,1,0,0.0
24,8,5,1,1,16,1,0,2.53
0,8,4,0,1,17,1,1,0.0
25,8,3,0,1,18,1,0,0.0
6,8,3,0,1,19,1,0,1.54
8,8,6,1,1,20,1,0,3.49
3,8,0,0,1,21,1,0,0.0
19,8,2,0,1,22,1,0,1.86
2,8,4,0,1,23,1,0,2.33
13,8,1,0,1,24,1,0,2.75
11,8,2,0,1,25,1,0,3.57
10,8,0,0,1,26,1,0,3.51
18,8,6,1,1,27,1,0,0.0
18,6,0,0,0,1,0,0,2.02
10,6,5,1,0,2,0,0,2.1
11,6,4,0,0,3,0,0,2.56
13,6,0,0,0,4,0,0,0.0
2,6,2,0,0,5,0,0,0.47
19,7,6,1,0,6,0,0,0.84
3,7,6,1,0,7,0,0,0.0
8,7,5,1,0,8,0,0,0.21
6,7,5,1,0,9,0,0,0.0
25,7,2,0,0,10,0,0,0.43
0,7,6,1,0,11,0,1,1.48
24,7,6,1,0,12,0,0,0.64
7,7,3,0,0,13,0,0,1.05
12,7,4,0,0,14,0,0,1.54
15,7,5,1,0,15,0,0,1.62
1,7,5,1,0,16,0,0,1.92
21,7,5,1,0,17,0,0,2.11
9,7,6,1,0,18,0,0,2.59
23,7,2,0,0,19,0,0,3.01
16,7,3,0,0,20,0,0,3.43
17,7,6,1,0,21,0,0,0.0
22,7,6,1,0,22,0,0,0.21
20,7,2,0,0,23,0,0,0.34
5,7,2,0,0,24,0,0,0.37
4,7,5,1,0,25,0,0,0.8
26,7,6,1,0,26,0,0,1.21
14,7,4,0,0,27,0,0,1.71
14,7,6,1,0,1,1,0,5.97
26,7,3,0,0,2,1,0,6.36
4,7,0,0,0,3,1,0,6.83
5,7,3,0,0,4,1,0,7.25
20,7,6,1,0,5,1,0,7.38
22,7,0,0,0,6,1,0,0.0
17,7,3,0,0,7,1,0,0.06
16,7,2,0,0,8,1,0,0.0
23,7,0,0,0,9,1,0,0.3
9,7,4,0,0,10,1,0,0.42
21,8,3,0,1,11,1,0,2.99
1,8,2,0,1,12,1,0,2.16
15,8,5,1,1,13,1,0,3.31
12,8,4,0,1,14,1,0,3.69
7,8,0,0,1,15,1,0,4.18
24,8,3,0,1,16,1,0,0.0
0,8,3,0,1,17,1,1,2.5
25,8,3,0,1,18,1,0,2.82
6,8,2,0,1,19,1,0,2.36
8,8,3,0,1,20,1,0,2.03
3,8,6,1,1,21,1,0,3.35
19,8,1,0,1,22,1,0,3.25
2,8,6,1,1,23,1,0,3.52
13,8,3,0,1,24,1,0,4.65
11,8,0,0,1,25,1,0,4.52
10,8,5,1,1,26,1,0,5.61
18,8,5,1,1,27,1,0,0.0
18,6,4,0,0,1,0,0,0.81
10,7,1,0,0,2,0,0,1.04
11,7,4,0,0,3,0,0,1.53
13,7,3,0,0,4,0,0,1.77
2,7,3,0,0,5,0,0,0.0
19,7,1,0,0,6,0,0,0.32
3,7,3,0,0,7,0,0,0.44
8,7,1,0,0,8,0,0,0.47
6,7,5,1,0,9,0,0,0.0
25,7,1,0,0,10,0,0,0.06
0,7,5,1,0,11,0,1,1.28
24,7,0,0,0,12,0,0,0.46
7,7,6,1,0,13,0,0,0.55
12,7,6,1,0,14,0,0,0.72
15,7,3,0,0,15,0,0,1.17
1,7,2,0,0,16,0,0,1.41
21,7,6,1,0,17,0,0,0.0
9,7,1,0,0,18,0,0,0.09
23,7,5,1,0,19,0,0,0.0
16,7,4,0,0,20,0,0,0.02
17,7,1,0,0,21,0,0,0.1
22,7,4,0,0,22,0,0,0.24
20,7,0,0,0,23,0,0,0.0
5,7,6,1,0,24,0,0,0.04
4,7,2,0,0,25,0,0,0.1
26,7,6,1,0,26,0,0,0.34
14,7,4,0,0,27,0,0,0.0
14,7,6,1,0,1,1,0,0.7
26,7,0,0,0,2,1,0,1.05
4,7,5,1,0,3,1,0,1.07
5,7,6,1,0,4,1,0,1.47
20,7,1,0,0,5,1,0,1.78
22,7,3,0,0,6,1,0,1.82
17,8,5,1,1,7,1,0,5.1
16,8,2,0,1,8,1,0,3.85
23,8,1,0,1,9,1,0,5.19
9,8,4,0,1,10,1,0,4.21
21,8,0,0,1,11,1,0,4.94
1,8,6,1,1,12,1,0,5.02
15,8,1,0,1,13,1,0,6.01
12,8,4,0,1,14,1,0,5.04
7,8,2,0,1,15,1,0,6.68
24,8,3,0,1,16,1,0,6.21
0,8,3,0,1,17,1,1,7.62
25,8,0,0,1,18,1,0,5.86
6,8,5,1,1,19,1,0,5.55
8,8,0,0,1,20,1,0,0.0
3,8,2,0,1,21,1,0,1.4
19,8,3,0,1,22,1,0,2.8
2,8,2,0,1,23,1,0,3.53
13,8,2,0,1,24,1,0,0.0
11,8,0,0,1,25,1,0,0.0
10,8,2,0,1,26,1,0,2.24
18,8,1,0,1,27,1,0,2.0
18,7,6,1,0,1,0,0,0.77
10,7,5,1,0,2,0,0,1.06
11,7,2,0,0,3,0,0,1.24
13,7,3,0,0,4,0,0,1.73
2,7,4,0,0,5,0,0,2.03
19,7,4,0,0,6,0,0,2.15
3,7,1,0,0,7,0,0,2.2
8,7,2,0,0,8,0,0,2.28
6,7,1,0,0,9,0,0,2.4
25,7,1,0,0,10,0,0,2.48
0,7,4,0,0,11,0,1,3.86
24,7,6,1,0,12,0,0,2.66
7,7,6,1,0,13,0,0,3.11
12,7,6,1,0,14,0,0,3.15
15,7,6,1,0,15,0,0,3.41
1,7,3,0,0,16,0,0,3.62
21,7,1,0,0,17,0,0,4.11
9,7,5,1,0,18,0,0,4.17
23,7,6,1,0,19,0,0,0.0
16,7,2,0,0,20,0,0,0.48
17,7,5,1,0,21,0,0,0.0
22,7,4,0,0,22,0,0,0.41
20,7,1,0,0,23,0,0,0.54
5,7,1,0,0,24,0,0,0.62
4,7,4,0,0,25,0,0,0.96
26,7,5,1,0,26,0,0,1.42
14,7,1,0,0,27,0,0,1.7
14,7,0,0,0,1,1,0,0.99
26,7,2,0,0,2,1,0,1.37
4,8,6,1,1,3,1,0,3.11
5,8,4,0,1,4,1,0,3.69
20,8,2,0,1,5,1,0,3.03
22,8,5,1,1,6,1,0,3.68
17,8,5,1,1,7,1,0,3.7
16,8,5,1,1,8,1,0,4.7
23,8,4,0,1,9,1,0,0.0
9,8,1,0,1,10,1,0,1.19
21,8,1,0,1,11,1,0,2.21
1,8,0,0,1,12,1,0,2.48
15,8,6,1,1,13,1,0,3.83
12,8,1,0,1,14,1,0,3.55
7,8,5,1,1,15,1,0,3.51
24,8,2,0,1,16,1,0,4.94
0,8,1,0,1,17,1,1,5.74
25,8,3,0,1,18,1,0,4.59
6,8,6,1,1,19,1,0,0.0
8,8,5,1,1,20,1,0,2.97
3,8,4,0,1,21,1,0,0.0
19,8,2,0,1,22,1,0,1.43
2,8,6,1,1,23,1,0,2.81
13,8,2,0,1,24,1,0,2.56
11,8,4,0,1,25,1,0,3.45
10,8,2,0,1,26,1,0,3.52
18,8,1,0,1,27,1,0,2.86
15,6,4,0,0,1,1,0,0.0
12,6,2,0,0,2,1,0,0.37
7,6,4,0,0,3,1,0,0.63
24,6,0,0,0,4,1,0,0.74
0,6,5,1,0,5,1,1,2.57
25,6,4,0,0,6,1,0,1.46
6,6,4,0,0,7,1,0,1.92
8,6,1,0,0,8,1,0,2.23
3,6,4,0,0,9,1,0,2.29
19,6,5,1,0,10,1,0,2.76
2,6,3,0,0,11,1,0,3.07
13,6,6,1,0,12,1,0,3.24
11,6,2,0,0,13,1,0,3.31
10,6,3,0,0,14,1,0,3.7
18,6,0,0,0,15,1,0,4.01
22,6,6,1,0,1,1,0,1.21
17,6,1,0,0,2,1,0,1.6
16,6,0,0,0,3,1,0,1.68
23,6,5,1,0,4,1,0,1.84
9,6,1,0,0,5,1,0,1.96
21,6,5,1,0,6,1,0,2.33
1,6,2,0,0,7,1,0,0.0
15,6,1,0,0,8,1,0,0.28
12,6,3,0,0,9,1,0,0.67
7,6,2,0,0,10,1,0,1.1
24,6,6,1,0,11,1,0,1.28
0,6,5,1,0,12,1,1,2.8
25,6,5,1,0,13,1,0,2.11
6,6,3,0,0,14,1,0,2.17
8,6,0,0,0,15,1,0,2.37
3,6,2,0,0,16,1,0,2.77
19,6,1,0,0,17,1,0,2.85
2,6,6,1,0,18,1,0,2.96
13,6,2,0,0,19,1,0,3.32
11,6,4,0,0,20,1,0,0.0
10,6,5,1,0,21,1,0,0.32
18,6,6,1,0,22,1,0,0.67
14,6,0,0,0,1,1,0,0.91
26,6,6,1,0,2,1,0,1.08
4,6,1,0,0,3,1,0,1.17
5,6,1,0,0,4,1,0,1.63
20,6,2,0,0,5,1,0,1.92
22,6,2,0,0,6,1,0,0.0
17,6,5,1,0,7,1,0,0.23
16,6,6,1,0,8,1,0,0.7
23,6,6,1,0,9,1,0,0.78
9,6,1,0,0,10,1,0,1.07
21,6,6,1,0,11,1,0,1.33
1,6,3,0,0,12,1,0,1.63
15,6,5,1,0,13,1,0,1.64
12,6,3,0,0,14,1,0,2.08
7,6,2,0,0,15,1,0,2.54
24,6,5,1,0,16,1,0,2.83
0,6,0,0,0,17,1,1,5.1
25,6,4,0,0,18,1,0,3.53
6,6,3,0,0,19,1,0,3.61
8,6,6,1,0,20,1,0,3.89
3,6,0,0,0,21,1,0,4.2
19,6,5,1,0,22,1,0,4.41
2,6,2,0,0,23,1,0,4.78
13,6,5,1,0,24,1,0,5.24
11,6,0,0,0,25,1,0,5.71
10,6,3,0,0,26,1,0,5.93
18,6,4,0,0,27,1,0,5.99
14,6,3,0,0,1,1,0,4.61
26,6,3,0,0,2,1,0,4.67
4,6,0,0,0,3,1,0,0.0
5,6,0,0,0,4,1,0,0.43
20,6,3,0,0,5,1,0,0.69
22,6,6,1,0,6,1,0,0.0
17,6,6,1,0,7,1,0,0.2
16,6,1,0,0,8,1,0,0.23
23,6,2,0,0,9,1,0,0.39
9,6,0,0,0,10,1,0,0.8
21,6,4,0,0,11,1,0,0.0
1,6,2,0,0,12,1,0,0.17
15,6,4,0,0,13,1,0,0.37
12,6,0,0,0,14,1,0,0.0
7,6,5,1,0,15,1,0,0.46
24,6,5,1,0,16,1,0,0.63
0,6,2,0,0,17,1,1,2.54
25,6,6,1,0,18,1,0,1.03
6,6,3,0,0,19,1,0,1.14
8,6,2,0,0,20,1,0,1.37
3,6,3,0,0,21,1,0,1.44
19,6,2,0,0,22,1,0,1.53
2,7,0,0,0,23,1,0,1.78
13,7,6,1,0,24,1,0,1.99
11,7,5,1,0,25,1,0,2.45
10,7,2,0,0,26,1,0,2.63
18,7,3,0,0,27,1,0,0.0
14,6,0,0,0,1,1,0,1.01
26,6,5,1,0,2,1,0,1.34
