station_id_encoded,hour,is_peak,station_congestion,stop_sequence,prev_delay,route_encoded,day_of_week,is_weekend,weather_severity,event_intensity,recovery_factor,delay_minutes,trip_id
108,6,0,1.0,8,5.07,1,2,0,2,0.0,0.1,8.87,SA_101485
57,6,0,1.0,9,8.87,1,6,1,1,0.0,0.1,9.28,SA_101485
56,6,0,1.0,1,0.0,1,1,0,0,0.0,0.1,0.93,SA_101486
107,6,0,1.0,2,0.93,1,3,0,0,0.0,0.1,1.36,SA_101486
74,6,0,1.0,3,1.36,1,3,0,0,0.0,0.1,2.35,SA_101486
12,6,0,1.0,4,2.35,1,6,1,0,0.0,0.1,2.64,SA_101486
97,6,0,1.0,5,2.64,1,5,1,0,0.0,0.1,2.59,SA_101486
62,6,0,1.0,6,2.59,1,5,1,0,0.0,0.1,2.7,SA_101486
26,6,0,1.0,7,2.7,1,6,1,0,0.0,0.1,2.7,SA_101486
99,6,0,1.0,8,2.7,1,5,1,1,0.0,0.1,5.07,SA_101486
88,6,0,1.0,9,5.07,1,2,0,0,0.0,0.1,4.82,SA_101486
88,6,0,1.0,1,0.0,1,3,0,0,0.0,0.1,1.91,SA_101487
100,6,0,1.0,2,1.91,1,6,1,0,0.0,0.1,2.25,SA_101487
27,6,0,1.0,3,2.25,1,3,0,0,0.0,0.1,2.64,SA_101487
63,6,0,1.0,4,2.64,1,0,0,0,0.0,0.1,3.09,SA_101487
98,6,0,1.0,5,3.09,1,2,0,0,0.0,0.1,3.59,SA_101487
13,6,0,1.0,6,3.59,1,4,0,2,0.0,0.1,7.5,SA_101487
75,6,0,1.0,7,7.5,1,2,0,0,0.0,0.1,6.24,SA_101487
108,6,0,1.0,8,6.24,1,6,1,1,0.0,0.1,7.11,SA_101487
57,6,0,1.0,9,7.11,1,4,0,1,0.0,0.1,7.68,SA_101487
56,6,0,1.0,1,0.0,1,0,0,0,0.0,0.1,1.9,SA_101488
107,6,0,1.0,2,1.9,1,6,1,1,0.0,0.1,4.58,SA_101488
74,6,0,1.0,3,4.58,1,1,0,0,0.0,0.1,4.0,SA_101488
12,6,0,1.0,4,4.0,1,3,0,0,0.0,0.1,3.9,SA_101488
97,6,0,1.0,5,3.9,1,0,0,0,0.0,0.1,4.14,SA_101488
62,6,0,1.0,6,4.14,1,3,0,0,0.0,0.1,4.26,SA_101488
26,6,0,1.0,7,4.26,1,5,1,0,0.0,0.1,4.54,SA_101488
99,6,0,1.0,8,4.54,1,1,0,0,0.0,0.1,4.39,SA_101488
88,6,0,1.0,9,4.39,1,1,0,1,0.0,0.1,7.2,SA_101488
88,6,0,1.0,1,0.0,1,0,0,0,0.0,0.1,1.11,SA_101489
100,6,0,1.0,2,1.11,1,1,0,0,0.0,0.1,1.98,SA_101489
27,6,0,1.0,3,1.98,1,4,0,0,0.0,0.1,2.46,SA_101489
63,6,0,1.0,4,2.46,1,1,0,0,0.0,0.1,2.9,SA_101489
98,7,0,1.0,5,2.9,1,3,0,1,0.0,0.1,4.58,SA_101489
13,7,0,1.0,6,4.58,1,3,0,0,0.0,0.1,4.25,SA_101489
75,7,0,1.0,7,4.25,1,6,1,2,0.0,0.1,8.19,SA_101489
108,7,0,1.0,8,8.19,1,3,0,0,0.0,0.1,7.22,SA_101489
57,7,0,1.0,9,7.22,1,6,1,0,0.0,0.1,5.95,SA_101489
56,6,0,1.0,1,0.0,1,3,0,0,0.0,0.1,1.22,SA_101490
107,6,0,1.0,2,1.22,1,4,0,1,0.0,0.1,3.9,SA_101490
74,6,0,1.0,3,3.9,1,6,1,0,0.0,0.1,4.01,SA_101490
12,6,0,1.0,4,4.01,1,2,0,0,0.0,0.1,4.27,SA_101490
97,6,0,1.0,5,4.27,1,5,1,0,0.0,0.1,4.18,SA_101490
62,6,0,1.0,6,4.18,1,0,0,0,0.0,0.1,4.14,SA_101490
26,6,0,1.0,7,4.14,1,3,0,0,0.0,0.1,4.43,SA_101490
99,7,0,1.0,8,4.43,1,1,0,0,0.0,0.1,4.26,SA_101490
88,7,0,1.0,9,4.26,1,3,0,1,0.0,0.1,6.01,SA_101490
88,7,0,1.0,1,0.0,1,1,0,0,0.0,0.1,1.44,SA_101491
100,7,0,1.0,2,1.44,1,5,1,0,0.0,0.1,2.06,SA_101491
27,7,0,1.0,3,2.06,1,5,1,0,0.0,0.1,2.16,SA_101491
63,7,0,1.0,4,2.16,1,5,1,0,0.0,0.1,2.76,SA_101491
98,7,0,1.0,5,2.76,1,1,0,0,0.0,0.1,3.16,SA_101491
13,7,0,1.0,6,3.16,1,3,0,0,0.0,0.1,3.35,SA_101491
75,7,0,1.0,7,3.35,1,5,1,0,0.0,0.1,3.41,SA_101491
108,7,0,1.0,8,3.41,1,4,0,1,0.0,0.1,5.09,SA_101491
57,7,0,1.0,9,5.09,1,6,1,0,0.0,0.1,4.54,SA_101491
56,7,0,1.0,1,0.0,1,1,0,0,0.0,0.1,1.38,SA_101492
107,7,0,1.0,2,1.38,1,1,0,0,0.0,0.1,2.09,SA_101492
74,7,0,1.0,3,2.09,1,3,0,0,0.0,0.1,2.68,SA_101492
12,7,0,1.0,4,2.68,1,1,0,0,0.0,0.1,2.42,SA_101492
97,7,0,1.0,5,2.42,1,1,0,0,0.0,0.1,2.56,SA_101492
62,7,0,1.0,6,2.56,1,5,1,0,0.0,0.1,3.36,SA_101492
26,7,0,1.0,7,3.36,1,3,0,0,0.0,0.1,3.48,SA_101492
99,7,0,1.0,8,3.48,1,5,1,0,0.0,0.1,3.07,SA_101492
88,7,0,1.0,9,3.07,1,6,1,0,0.0,0.1,2.96,SA_101492
88,7,0,1.0,1,0.0,1,6,1,0,0.0,0.1,0.92,SA_101493
100,7,0,1.0,2,0.92,1,5,1,0,0.0,0.1,1.84,SA_101493
27,7,0,1.0,3,1.84,1,6,1,0,0.0,0.1,3.19,SA_101493
63,7,0,1.0,4,3.19,1,3,0,0,0.0,0.1,3.31,SA_101493
98,7,0,1.0,5,3.31,1,0,0,0,0.0,0.1,3.54,SA_101493
13,7,0,1.0,6,3.54,1,5,1,1,0.0,0.1,5.6,SA_101493
75,7,0,1.0,7,5.6,1,4,0,0,0.0,0.1,4.66,SA_101493
108,7,0,1.0,8,4.66,1,4,0,0,0.0,0.1,4.71,SA_101493
57,7,0,1.0,9,4.71,1,1,0,0,0.0,0.1,4.63,SA_101493
56,7,0,1.0,1,0.0,1,6,1,0,0.0,0.1,1.05,SA_101494
107,7,0,1.0,2,1.05,1,4,0,0,0.0,0.1,2.33,SA_101494
74,7,0,1.0,3,2.33,1,1,0,0,0.0,0.1,3.21,SA_101494
12,7,0,1.0,4,3.21,1,0,0,0,0.0,0.1,3.8,SA_101494
97,7,0,1.0,5,3.8,1,3,0,1,0.0,0.1,5.52,SA_101494
62,7,0,1.0,6,5.52,1,3,0,1,0.0,0.1,6.98,SA_101494
26,7,0,1.0,7,6.98,1,3,0,0,0.0,0.1,5.8,SA_101494
99,7,0,1.0,8,5.8,1,4,0,1,0.0,0.1,7.42,SA_101494
88,7,0,1.0,9,7.42,1,0,0,1,0.0,0.1,8.76,SA_101494
88,7,0,1.0,1,0.0,1,4,0,0,0.0,0.1,1.47,SA_101495
100,7,0,1.0,2,1.47,1,6,1,1,0.0,0.1,3.73,SA_101495
27,7,0,1.0,3,3.73,1,4,0,0,0.0,0.1,3.76,SA_101495
63,7,0,1.0,4,3.76,1,0,0,1,0.0,0.1,5.44,SA_101495
98,7,0,1.0,5,5.44,1,0,0,1,0.0,0.1,7.04,SA_101495
13,7,0,1.0,6,7.04,1,6,1,0,0.0,0.1,5.71,SA_101495
75,7,0,1.0,7,5.71,1,0,0,0,0.0,0.1,5.55,SA_101495
108,7,0,1.0,8,5.55,1,0,0,0,0.0,0.1,4.74,SA_101495
57,7,0,1.0,9,4.74,1,3,0,0,0.0,0.1,4.33,SA_101495
56,7,0,1.0,1,0.0,1,6,1,1,0.0,0.1,3.97,SA_101496
107,7,0,1.0,2,3.97,1,2,0,1,0.0,0.1,6.07,SA_101496
74,7,0,1.0,3,6.07,1,2,0,0,0.0,0.1,5.64,SA_101496
12,7,0,1.0,4,5.64,1,0,0,0,0.0,0.1,5.19,SA_101496
97,7,0,1.0,5,5.19,1,2,0,0,0.0,0.1,5.14,SA_101496
62,7,0,1.0,6,5.14,1,2,0,0,0.0,0.1,5.46,SA_101496
26,7,0,1.0,7,5.46,1,0,0,0,0.0,0.1,4.81,SA_101496
99,7,0,1.0,8,4.81,1,2,0,0,0.0,0.1,4.41,SA_101496
88,7,0,1.0,9,4.41,1,4,0,1,0.0,0.1,5.77,SA_101496
88,7,0,1.0,1,0.0,1,1,0,0,0.0,0.1,1.7,SA_101497
100,7,0,1.0,2,1.7,1,6,1,0,0.0,0.1,2.51,SA_101497
27,7,0,1.0,3,2.51,1,1,0,0,0.0,0.1,3.0,SA_101497
63,7,0,1.0,4,3.0,1,0,0,0,0.0,0.1,3.31,SA_101497
98,7,0,1.0,5,3.31,1,3,0,2,0.0,0.1,7.56,SA_101497
13,7,0,1.0,6,7.56,1,6,1,2,0.0,0.1,10.14,SA_101497
75,7,0,1.0,7,10.14,1,0,0,0,0.0,0.1,8.16,SA_101497
108,7,0,1.0,8,8.16,1,3,0,0,0.0,0.1,6.84,SA_101497
57,7,0,1.0,9,6.84,1,1,0,0,0.0,0.1,5.64,SA_101497
56,7,0,1.0,1,0.0,1,0,0,0,0.0,0.1,1.25,SA_101498
107,7,0,1.0,2,1.25,1,6,1,0,0.0,0.1,1.69,SA_101498
74,7,0,1.0,3,1.69,1,6,1,0,0.0,0.1,2.66,SA_101498
12,7,0,1.0,4,2.66,1,5,1,0,0.0,0.1,3.41,SA_101498
97,7,0,1.0,5,3.41,1,4,0,0,0.0,0.1,3.74,SA_101498
62,7,0,1.0,6,3.74,1,2,0,0,0.0,0.1,3.46,SA_101498
26,7,0,1.0,7,3.46,1,3,0,1,0.0,0.1,5.32,SA_101498
99,7,0,1.0,8,5.32,1,5,1,0,0.0,0.1,4.48,SA_101498
88,7,0,1.0,9,4.48,1,2,0,0,0.0,0.1,4.48,SA_101498
88,7,0,1.0,1,0.0,1,2,0,0,0.0,0.1,2.22,SA_101499
100,7,0,1.0,2,2.22,1,0,0,2,0.0,0.1,6.96,SA_101499
27,7,0,1.0,3,6.96,1,2,0,0,0.0,0.1,6.5,SA_101499
63,7,0,1.0,4,6.5,1,4,0,0,0.0,0.1,5.55,SA_101499
98,8,1,1.0,5,5.55,1,6,1,0,0.0,0.1,5.99,SA_101499
13,8,1,1.0,6,5.99,1,5,1,0,0.0,0.1,6.32,SA_101499
75,8,1,1.0,7,6.32,1,2,0,0,0.0,0.1,6.63,SA_101499
108,8,1,1.0,8,6.63,1,0,0,0,0.0,0.1,7.11,SA_101499
57,8,1,1.0,9,7.11,1,4,0,0,0.0,0.1,7.65,SA_101499
56,7,0,1.0,1,0.0,1,1,0,0,0.0,0.1,2.32,SA_101500
107,7,0,1.0,2,2.32,1,6,1,0,0.0,0.1,2.94,SA_101500
74,7,0,1.0,3,2.94,1,6,1,0,0.0,0.1,4.02,SA_101500
12,7,0,1.0,4,4.02,1,5,1,1,0.0,0.1,5.96,SA_101500
97,7,0,1.0,5,5.96,1,6,1,0,0.0,0.1,4.83,SA_101500
62,7,0,1.0,6,4.83,1,2,0,0,0.0,0.1,4.48,SA_101500
26,7,0,1.0,7,4.48,1,0,0,0,0.0,0.1,3.95,SA_101500
99,8,1,1.0,8,3.95,1,6,1,0,0.0,0.1,5.15,SA_101500
88,8,1,1.0,9,5.15,1,6,1,0,0.0,0.1,5.89,SA_101500
88,8,1,1.0,1,0.0,1,1,0,0,0.0,0.1,1.54,SA_101501
100,8,1,1.0,2,1.54,1,1,0,0,0.0,0.1,2.74,SA_101501
27,8,1,1.0,3,2.74,1,3,0,0,0.0,0.1,4.05,SA_101501
63,8,1,1.0,4,4.05,1,4,0,0,0.0,0.1,5.08,SA_101501
98,8,1,1.0,5,5.08,1,2,0,0,0.0,0.1,5.8,SA_101501
13,8,1,1.0,6,5.8,1,6,1,0,0.0,0.1,6.17,SA_101501
75,8,1,1.0,7,6.17,1,6,1,0,0.0,0.1,6.29,SA_101501
108,8,1,1.0,8,6.29,1,0,0,1,0.0,0.1,9.22,SA_101501
57,8,1,1.0,9,9.22,1,3,0,0,0.0,0.1,9.59,SA_101501
56,8,1,1.0,1,0.0,1,4,0,0,0.0,0.1,1.79,SA_101502
107,8,1,1.0,2,1.79,1,3,0,0,0.0,0.1,3.05,SA_101502
74,8,1,1.0,3,3.05,1,5,1,1,0.0,0.1,6.78,SA_101502
12,8,1,1.0,4,6.78,1,4,0,1,0.0,0.1,10.29,SA_101502
97,8,1,1.0,5,10.29,1,6,1,0,0.0,0.1,10.32,SA_101502
62,8,1,1.0,6,10.32,1,6,1,0,0.0,0.1,10.03,SA_101502
26,8,1,1.0,7,10.03,1,4,0,1,0.0,0.1,12.84,SA_101502
99,8,1,1.0,8,12.84,1,6,1,0,0.0,0.1,12.43,SA_101502
88,8,1,1.0,9,12.43,1,2,0,0,0.0,0.1,12.33,SA_101502
88,8,1,1.0,1,0.0,1,4,0,0,0.0,0.1,2.34,SA_101503
100,8,1,1.0,2,2.34,1,3,0,0,0.0,0.1,3.07,SA_101503
27,8,1,1.0,3,3.07,1,4,0,1,0.0,0.1,6.33,SA_101503
63,8,1,1.0,4,6.33,1,6,1,1,0.0,0.1,9.53,SA_101503
98,8,1,1.0,5,9.53,1,2,0,0,0.0,0.1,9.76,SA_101503
13,8,1,1.0,6,9.76,1,2,0,0,0.0,0.1,9.95,SA_101503
75,8,1,1.0,7,9.95,1,5,1,0,0.0,0.1,11.11,SA_101503
108,8,1,1.0,8,11.11,1,3,0,0,0.0,0.1,11.12,SA_101503
57,8,1,1.0,9,11.12,1,1,0,1,0.0,0.1,13.79,SA_101503
56,8,1,1.0,1,0.0,1,1,0,1,0.0,0.1,4.58,SA_101504
107,8,1,1.0,2,4.58,1,4,0,0,0.0,0.1,5.45,SA_101504
74,8,1,1.0,3,5.45,1,5,1,0,0.0,0.1,5.79,SA_101504
12,8,1,1.0,4,5.79,1,0,0,0,0.0,0.1,5.97,SA_101504
97,8,1,1.0,5,5.97,1,4,0,0,0.0,0.1,6.62,SA_101504
62,8,1,1.0,6,6.62,1,5,1,1,0.0,0.1,9.37,SA_101504
26,8,1,1.0,7,9.37,1,3,0,0,0.0,0.1,9.45,SA_101504
99,8,1,1.0,8,9.45,1,3,0,0,0.0,0.1,9.38,SA_101504
88,8,1,1.0,9,9.38,1,3,0,0,0.0,0.1,8.93,SA_101504
88,8,1,1.0,1,0.0,1,3,0,0,0.0,0.1,1.99,SA_101505
100,8,1,1.0,2,1.99,1,3,0,0,0.0,0.1,3.05,SA_101505
27,8,1,1.0,3,3.05,1,5,1,0,0.0,0.1,4.42,SA_101505
63,8,1,1.0,4,4.42,1,5,1,0,0.0,0.1,5.27,SA_101505
98,8,1,1.0,5,5.27,1,2,0,0,0.0,0.1,5.66,SA_101505
13,8,1,1.0,6,5.66,1,1,0,0,0.0,0.1,6.1,SA_101505
75,8,1,1.0,7,6.1,1,6,1,0,0.0,0.1,6.89,SA_101505
108,8,1,1.0,8,6.89,1,3,0,0,0.0,0.1,7.13,SA_101505
57,8,1,1.0,9,7.13,1,0,0,0,0.0,0.1,7.63,SA_101505
56,8,1,1.0,1,0.0,1,6,1,0,0.0,0.1,2.24,SA_101506
107,8,1,1.0,2,2.24,1,5,1,0,0.0,0.1,3.96,SA_101506
74,8,1,1.0,3,3.96,1,0,0,0,0.0,0.1,5.27,SA_101506
12,8,1,1.0,4,5.27,1,0,0,1,0.0,0.1,8.73,SA_101506
97,8,1,1.0,5,8.73,1,0,0,0,0.0,0.1,8.92,SA_101506
62,8,1,1.0,6,8.92,1,2,0,0,0.0,0.1,9.22,SA_101506
26,8,1,1.0,7,9.22,1,5,1,0,0.0,0.1,9.65,SA_101506
99,8,1,1.0,8,9.65,1,0,0,0,0.0,0.1,9.51,SA_101506
88,8,1,1.0,9,9.51,1,3,0,0,0.0,0.1,9.45,SA_101506
88,8,1,1.0,1,0.0,1,4,0,0,0.0,0.1,1.03,SA_101507
100,8,1,1.0,2,1.03,1,0,0,2,0.0,0.1,7.53,SA_101507
27,8,1,1.0,3,7.53,1,2,0,0,0.0,0.1,8.16,SA_101507
63,8,1,1.0,4,8.16,1,6,1,1,0.0,0.1,10.58,SA_101507
98,8,1,1.0,5,10.58,1,5,1,0,0.0,0.1,10.39,SA_101507
13,8,1,1.0,6,10.39,1,2,0,0,0.0,0.1,10.19,SA_101507
75,8,1,1.0,7,10.19,1,0,0,0,0.0,0.1,9.96,SA_101507
108,8,1,1.0,8,9.96,1,5,1,0,0.0,0.1,10.5,SA_101507
57,8,1,1.0,9,10.5,1,4,0,0,0.0,0.1,10.55,SA_101507
56,8,1,1.0,1,0.0,1,0,0,0,0.0,0.1,2.07,SA_101508
107,8,1,1.0,2,2.07,1,2,0,0,0.0,0.1,3.76,SA_101508
74,8,1,1.0,3,3.76,1,1,0,0,0.0,0.1,4.3,SA_101508
12,8,1,1.0,4,4.3,1,3,0,0,0.0,0.1,5.7,SA_101508
97,8,1,1.0,5,5.7,1,6,1,0,0.0,0.1,6.13,SA_101508
62,8,1,1.0,6,6.13,1,2,0,0,0.0,0.1,6.33,SA_101508
26,8,1,1.0,7,6.33,1,5,1,1,0.0,0.1,9.31,SA_101508
99,8,1,1.0,8,9.31,1,0,0,2,0.0,0.1,14.97,SA_101508
88,8,1,1.0,9,14.97,1,3,0,1,0.0,0.1,16.72,SA_101508
88,8,1,1.0,1,0.0,1,0,0,0,0.0,0.1,1.49,SA_101509
100,8,1,1.0,2,1.49,1,5,1,0,0.0,0.1,2.69,SA_101509
27,8,1,1.0,3,2.69,1,0,0,1,0.0,0.1,5.91,SA_101509
63,8,1,1.0,4,5.91,1,1,0,0,0.0,0.1,7.02,SA_101509
98,9,1,1.0,5,7.02,1,3,0,2,0.0,0.1,12.04,SA_101509
13,9,1,1.0,6,12.04,1,3,0,2,0.0,0.1,16.6,SA_101509
75,9,1,1.0,7,16.6,1,5,1,1,0.0,0.1,18.15,SA_101509
108,9,1,1.0,8,18.15,1,6,1,0,0.0,0.1,17.36,SA_101509
57,9,1,1.0,9,17.36,1,1,0,0,0.0,0.1,15.82,SA_101509
56,8,1,1.0,1,0.0,1,2,0,1,0.0,0.1,4.42,SA_101510
107,8,1,1.0,2,4.42,1,0,0,0,0.0,0.1,5.53,SA_101510
74,8,1,1.0,3,5.53,1,4,0,0,0.0,0.1,6.14,SA_101510
12,8,1,1.0,4,6.14,1,0,0,0,0.0,0.1,6.74,SA_101510
97,8,1,1.0,5,6.74,1,0,0,1,0.0,0.1,9.92,SA_101510
62,8,1,1.0,6,9.92,1,2,0,0,0.0,0.1,9.97,SA_101510
26,8,1,1.0,7,9.97,1,0,0,0,0.0,0.1,9.41,SA_101510
99,9,1,1.0,8,9.41,1,1,0,0,0.0,0.1,9.88,SA_101510
88,9,1,1.0,9,9.88,1,1,0,0,0.0,0.1,9.71,SA_101510
88,9,1,1.0,1,0.0,1,3,0,2,0.0,0.1,7.47,SA_101511
100,9,1,1.0,2,7.47,1,5,1,0,0.0,0.1,7.8,SA_101511
27,9,1,1.0,3,7.8,1,6,1,0,0.0,0.1,8.31,SA_101511
63,9,1,1.0,4,8.31,1,4,0,1,0.0,0.1,11.15,SA_101511
98,9,1,1.0,5,11.15,1,0,0,0,0.0,0.1,10.79,SA_101511
13,9,1,1.0,6,10.79,1,0,0,0,0.0,0.1,10.61,SA_101511
75,9,1,1.0,7,10.61,1,2,0,0,0.0,0.1,10.37,SA_101511
108,9,1,1.0,8,10.37,1,5,1,0,0.0,0.1,10.14,SA_101511
57,9,1,1.0,9,10.14,1,1,0,0,0.0,0.1,10.37,SA_101511
56,9,1,1.0,1,0.0,1,4,0,1,0.0,0.1,4.34,SA_101512
107,9,1,1.0,2,4.34,1,3,0,1,0.0,0.1,8.12,SA_101512
74,9,1,1.0,3,8.12,1,1,0,1,0.0,0.1,11.01,SA_101512
12,9,1,1.0,4,11.01,1,5,1,1,0.0,0.1,13.54,SA_101512
97,9,1,1.0,5,13.54,1,6,1,0,0.0,0.1,12.82,SA_101512
62,9,1,1.0,6,12.82,1,3,0,0,0.0,0.1,12.66,SA_101512
26,9,1,1.0,7,12.66,1,6,1,0,0.0,0.1,12.42,SA_101512
99,9,1,1.0,8,12.42,1,2,0,0,0.0,0.1,11.85,SA_101512
88,9,1,1.0,9,11.85,1,2,0,0,0.0,0.1,11.03,SA_101512
88,9,1,1.0,1,0.0,1,0,0,0,0.0,0.1,1.77,SA_101513
100,9,1,1.0,2,1.77,1,6,1,1,0.0,0.1,5.67,SA_101513
27,9,1,1.0,3,5.67,1,5,1,0,0.0,0.1,6.26,SA_101513
63,9,1,1.0,4,6.26,1,4,0,0,0.0,0.1,6.75,SA_101513
98,9,1,1.0,5,6.75,1,3,0,0,0.0,0.1,7.57,SA_101513
13,9,1,1.0,6,7.57,1,1,0,0,0.0,0.1,8.18,SA_101513
75,9,1,1.0,7,8.18,1,5,1,0,0.0,0.1,8.7,SA_101513
108,9,1,1.0,8,8.7,1,5,1,0,0.0,0.1,9.29,SA_101513
57,9,1,1.0,9,9.29,1,2,0,0,0.0,0.1,9.4,SA_101513
56,9,1,1.0,1,0.0,1,6,1,0,0.0,0.1,1.59,SA_101514
107,9,1,1.0,2,1.59,1,0,0,0,0.0,0.1,3.11,SA_101514
74,9,1,1.0,3,3.11,1,0,0,0,0.0,0.1,4.06,SA_101514
12,9,1,1.0,4,4.06,1,3,0,0,0.0,0.1,4.77,SA_101514
97,9,1,1.0,5,4.77,1,2,0,1,0.0,0.1,8.63,SA_101514
62,9,1,1.0,6,8.63,1,5,1,0,0.0,0.1,9.15,SA_101514
26,9,1,1.0,7,9.15,1,4,0,0,0.0,0.1,8.74,SA_101514
99,9,1,1.0,8,8.74,1,2,0,0,0.0,0.1,8.8,SA_101514
88,9,1,1.0,9,8.8,1,3,0,0,0.0,0.1,9.34,SA_101514
88,9,1,1.0,1,0.0,1,3,0,0,0.0,0.1,1.73,SA_101515
100,9,1,1.0,2,1.73,1,2,0,0,0.0,0.1,3.16,SA_101515
27,9,1,1.0,3,3.16,1,3,0,0,0.0,0.1,4.38,SA_101515
63,9,1,1.0,4,4.38,1,2,0,0,0.0,0.1,5.22,SA_101515
98,9,1,1.0,5,5.22,1,1,0,0,0.0,0.1,5.66,SA_101515
13,9,1,1.0,6,5.66,1,2,0,0,0.0,0.1,6.34,SA_101515
75,9,1,1.0,7,6.34,1,6,1,0,0.0,0.1,6.68,SA_101515
108,9,1,1.0,8,6.68,1,2,0,0,0.0,0.1,7.47,SA_101515
57,9,1,1.0,9,7.47,1,3,0,2,0.0,0.1,12.81,SA_101515
56,9,1,1.0,1,0.0,1,6,1,0,0.0,0.1,1.87,SA_101516
107,9,1,1.0,2,1.87,1,3,0,0,0.0,0.1,3.5,SA_101516
74,9,1,1.0,3,3.5,1,0,0,0,0.0,0.1,4.34,SA_101516
12,9,1,1.0,4,4.34,1,0,0,0,0.0,0.1,5.25,SA_101516
97,9,1,1.0,5,5.25,1,6,1,0,0.0,0.1,6.13,SA_101516
62,9,1,1.0,6,6.13,1,1,0,0,0.0,0.1,6.97,SA_101516
26,9,1,1.0,7,6.97,1,0,0,0,0.0,0.1,7.77,SA_101516
99,9,1,1.0,8,7.77,1,2,0,2,0.0,0.1,12.96,SA_101516
88,9,1,1.0,9,12.96,1,3,0,1,0.0,0.1,14.82,SA_101516
88,9,1,1.0,1,0.0,1,0,0,0,0.0,0.1,1.95,SA_101517
100,9,1,1.0,2,1.95,1,0,0,0,0.0,0.1,3.25,SA_101517
27,9,1,1.0,3,3.25,1,1,0,0,0.0,0.1,4.7,SA_101517
63,9,1,1.0,4,4.7,1,6,1,0,0.0,0.1,5.75,SA_101517
98,9,1,1.0,5,5.75,1,6,1,0,0.0,0.1,6.34,SA_101517
13,9,1,1.0,6,6.34,1,5,1,0,0.0,0.1,6.89,SA_101517
75,9,1,1.0,7,6.89,1,1,0,0,0.0,0.1,7.05,SA_101517
108,9,1,1.0,8,7.05,1,2,0,0,0.0,0.1,7.49,SA_101517
57,9,1,1.0,9,7.49,1,6,1,0,0.0,0.1,7.78,SA_101517
56,9,1,1.0,1,0.0,1,3,0,2,0.0,0.1,6.91,SA_101518
107,9,1,1.0,2,6.91,1,1,0,0,0.0,0.1,7.6,SA_101518
74,9,1,1.0,3,7.6,1,0,0,0,0.0,0.1,8.11,SA_101518
12,9,1,1.0,4,8.11,1,3,0,0,0.0,0.1,8.42,SA_101518
97,9,1,1.0,5,8.42,1,3,0,0,0.0,0.1,8.22,SA_101518
